Species,Order,Family,Genus,Species.1,BDT.C,ET,LT,Author,Year,Title,Journal,Location_new,lon_new,lat_new,quality,index,T_Avg ,BDT_Dist,ET_Dist,LT_Dist,T_Index,,,,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4.3,NA,NA,"Lamb R.J., MacKay P.A. and Gerber, G.H.",1987,"Are development and growth of pea aphids, Acyrthosiphon pisum, in North America adapted to local temperatures",Oecologia,"Rosemount, Minnesota ",-72.5965917,42.1834327,2,426,7.7,3.4,NA,NA,1,,,,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4.8,NA,NA,"Lamb R.J., MacKay P.A. and Gerber, G.H.",1987,"Are development and growth of pea aphids, Acyrthosiphon pisum, in North America adapted to local temperatures",Oecologia,"Mapleton, North Dakota",-97.051124,46.8891374,2,428,6.1,1.3,NA,NA,1,,AVG_T =,14.34907975,2
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4.9,NA,NA,"Lamb R.J., MacKay P.A. and Gerber, G.H.",1987,"Are development and growth of pea aphids, Acyrthosiphon pisum, in North America adapted to local temperatures",Oecologia,"Prince Albert, SK, Canada",-105.7530705,53.2033494,2,429,2.8,2.1,NA,NA,1,,STD_T =,6.533450189,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,5.5,NA,NA,"Campbell, A. and M. Mackauer",1975,Thermal constants for development of the pea aphid (Homoptera: Aphididae) and some of its parasites,Canadian Entomologist,"Vancouver, British Columbia, CA",NA,NA,3,420,9,3.5,NA,NA,2,,LOW_T =,7.815629566,1
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,6.3,NA,NA,"Campbell, A. and M. Mackauer",1975,Thermal constants for development of the pea aphid (Homoptera: Aphididae) and some of its parasites,Canadian Entomologist,"Vancouver, British Columbia, CA",NA,NA,3,420,9,2.7,NA,NA,2,,HIGH_T =,20.88252994,3
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4,NA,NA,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackauer M.",1974,Temperature requirements of some aphids and their parasites. ,Journal of Applied Ecology ,"BostaniÃ§i, Turkey",43.3729793,38.5012085,2,421,11.1,7.1,NA,NA,2,,,,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,5.1,NA,NA,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackauer M.",1974,Temperature requirements of some aphids and their parasites. ,Journal of Applied Ecology ,"Berkeley, CA, USA",NA,NA,2,422,13.5,8.4,NA,NA,2,,,,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,5.6,NA,NA,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackauer M.",1974,Temperature requirements of some aphids and their parasites. ,Journal of Applied Ecology ,"Vancouver, British Columbia, CA",NA,NA,2,423,9,3.4,NA,NA,2,,,,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,3.1,-,3.1,"Hochberg, M. E., J. Pickering, et al.",1986," Evaluation of phenology models using field data: case study for the pea aphid, Acyrthosiphon pisum, and the blue alfalfa aphid, Acyrthosiphon kondoi (Homoptera: Aphididae)",Environmental Entomology,"Albany, California",-119.4179324,36.778261,1,424,8.2,5.1,NA,5.1,2,,,,
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4.2,NA,NA,"Lamb R.J., MacKay P.A. and Gerber, G.H.",1987,"Are development and growth of pea aphids, Acyrthosiphon pisum, in North America adapted to local temperatures",Oecologia,"Manhattan, Kansas-96.568752",NA,39.1836082,2,425,12.2,8,NA,NA,2,,,,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,bipunctata,9.2,9.1,8.8,"Obrycki, J. J. and M. J. Tauber",1981,Phenology of three coccinellid species: thermal requirements for development,Annals of the Entomological Society of America,"Ithica, New York",-76.500436,42.445576,2,21,7.9,1.3,1.2,0.9,2,,,,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,bipunctata,9.4,12.8,5.9,Olszak R.W.,1987,"The occurrence of Adalia bipunctata (L.) (Coleoptera, Coccinellidae) in apple orchards and the effect of different factors on its development.",Ekologia Polska,Poland,19.020268,52.573698,2,22,8.3,1.1,4.5,2.4,2,,,,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,bipunctata,8.36,7.76,7.7,"SchÅder, J. Hommes, M. and Larink, O.",2004,The influence of temperature and food supply on the development of Adalia bipunctata (Coleoptera: Coccinellidae).,European Journal of Entomology,Germany,10.525817,52.27421,3,23,10.4,2.04,2.64,2.7,2,,,,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,bipunctata,9.2,6.19,9.67,"SchÅder, J. Hommes, M. and Larink, O.",2004,The influence of temperature and food supply on the development of Adalia bipunctata (Coleoptera: Coccinellidae).,European Journal of Entomology,Germany,10.525817,52.27421,3,23,10.4,1.2,4.21,0.73,2,,,,
